Estimators,Train Accuracy,Test Accuracy
1,0.6482167566051229,0.647848467515798
3,0.6611243477537174,0.640115761857711
5,0.6633425846732494,0.6248266076452043
7,0.6742354465436755,0.6467835557212758
9,0.6757631377171445,0.659684230731828
11,0.6763303912644367,0.63210045560946
13,0.6716914552143113,0.648788576892078
15,0.6641754133860662,0.6344792347032099
17,0.6625980958838946,0.638894396324594
19,0.666111950673404,0.6517403776885147
21,0.6625412716178982,0.6453570330201635
23,0.6615887917364316,0.6410302418344492
